"BehaviorSpace results (NetLogo 6.2.0)"
"Signaling Game.nlogo"
"experiment"
"09/17/2022 08:10:04:276 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-14","14"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"number-of-states","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"print-probabilities?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"[all run data]","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)"
,"50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
,"50","51.39","50","51.39","50","51.39","51.39","51.39","50","51.39","51.39","50","51.39","50","51.39","51.39","51.39","50","51.39","50","50","50","50","50","51.39","51.39","51.39","50","51.39","50","51.39","50","50","51.39","51.39","51.39","50","50","50","51.39","50","50","51.39","51.39","50","51.39","50","50","51.39","50","51.39","50","51.39","51.39","50","51.39","50","50","51.39","50","51.39","51.39","51.39","50","50","50","50","50","50","50","51.39","50","50","51.39","51.39","50","50","50","51.39","51.39","51.39","51.39","51.39","50","51.39","51.39","50","50","50","51.39","51.39","51.39","50","50","51.39","50","51.39","50","50","51.39"
,"50","50","50","50","50","50","50","55.56","50","53.13","51.39","50","51.39","51.39","51.39","53.13","51.39","51.39","51.39","50","51.39","50","50","51.39","50","53.13","51.39","51.39","53.13","50","53.13","50","50","53.13","53.13","51.39","50","50","50","55.56","50","50","51.39","51.39","50","51.39","50","51.39","51.39","51.39","51.39","51.39","51.39","53.13","51.39","53.13","51.39","51.39","50","51.39","51.39","53.13","53.13","51.39","51.39","51.39","51.39","50","50","51.39","51.39","51.39","50","55.56","51.39","51.39","51.39","50","51.39","55.56","53.13","50","53.13","51.39","51.39","51.39","50","50","51.39","53.13","53.13","50","51.39","50","51.39","50","51.39","51.39","51.39","53.13"
,"51.39","50.42","51.39","51.39","51.39","51.39","50","55.56","50","53.13","55.56","51.39","51.39","53.13","53.13","54.5","51.39","51.39","50","50","53.13","50","51.39","51.39","50.42","53.13","51.39","51.39","53.13","51.39","54.5","50","51.39","53.13","54.5","50","51.39","50","50","58.68","50","50","55.56","53.13","50","53.13","51.39","53.13","51.39","50","51.39","51.39","51.39","50.42","50","53.13","50","53.13","51.39","51.39","53.13","54.5","53.13","50","51.39","51.39","51.39","50","51.39","51.39","53.13","55.56","50","58.68","51.39","51.39","53.13","50","51.39","55.56","54.5","51.39","53.13","51.39","51.39","50","51.39","50","51.39","53.13","53.13","50","50","51.39","50","51.39","51.39","51.39","53.13","53.13"
,"51.39","50.42","51.39","50","50","51.39","50","58.68","50","53.13","55.56","51.39","51.39","53.13","53.13","54.5","50","51.39","50","51.39","53.13","50","55.56","51.39","51.11","54.5","51.39","51.39","54.5","51.39","51.11","51.39","51.39","54.5","60.89","50.42","51.39","51.39","50","58.68","50","51.39","55.56","54.5","50","54.5","51.39","53.13","50","50","53.13","50","50","53.33","50.42","53.13","51.39","53.13","50","51.39","53.13","55.56","53.13","51.39","51.39","51.39","53.13","50","51.39","51.39","53.13","55.56","50","53.33","51.39","53.13","50.42","51.39","51.39","55.56","55.56","53.33","53.13","53.13","55.56","50.42","51.39","51.39","51.39","54.5","58.68","50","50","53.13","50","51.39","51.39","51.39","53.13","53.13"
,"50","51.11","55.56","50.5","51.39","50.22","50","62.5","51.39","50.42","58.68","51.39","53.13","50.42","53.13","54.5","50","53.13","50.42","51.39","58.68","51.39","55.56","51.39","51.11","54.5","51.39","55.56","54.5","51.39","51.79","53.13","51.39","55.56","60.89","50","51.39","53.13","51.39","58.68","50","50","55.56","55.56","50","54.5","51.39","53.13","50","50.42","50.42","50.42","51.39","53.33","50.42","54.5","53.33","50.42","50","51.39","50.42","55.56","50.42","53.33","53.13","51.39","53.13","51.39","51.39","51.39","53.13","58.68","51.39","56.13","51.39","53.13","50.42","53.13","55.56","58.68","56.38","53.33","50.42","58.68","55.56","50.22","51.39","51.39","51.39","54.5","62.5","51.39","51.39","54.5","50","51.39","51.39","53.13","53.13","53.13"
,"50","50","51.39","50.5","51.39","51.25","50.42","65.13","53.13","51.11","62.5","55.56","50.42","51.11","58.68","51.11","50","58.68","51.11","51.39","62.5","50","55.56","51.39","51.79","51.11","51.39","55.56","54.5","51.39","52.38","53.13","55.56","55.56","62.5","50.18","51.39","54.5","51.39","62.5","51.39","50.42","55.56","56.38","51.39","55.56","51.39","54.5","50","50.42","50.42","50.42","50","53.33","51.11","54.5","53.33","50.42","50","50","50.42","55.56","53.33","53.33","53.13","55.56","53.13","55.56","51.39","53.13","53.13","60.89","55.56","58.33","53.13","54.5","51.11","53.13","55.56","62.5","56.38","55","50.22","62.5","58.68","50.22","51.39","50","51.39","54.5","65.13","51.39","53.33","55.56","50","51.39","53.13","58.68","54.5","54.5"
,"50","50.11","53.33","50.5","51.39","51.25","50.42","67.01","54.5","51.11","65.13","58.68","50.42","51.11","58.68","51.11","50","62.5","50.18","53.13","62.5","50.42","58.68","51.39","51.79","55","53.13","55.56","54.5","51.39","52.89","53.13","58.68","55.56","56.35","50.18","51.39","60.89","51.39","62.5","51.39","50.42","58.68","63.72","51.39","56.38","51.39","60.89","50","50.42","51.11","51.11","50.5","55","51.11","54.5","53.33","50.42","50.5","50.42","50.42","62.5","55","56.13","53.13","55.56","53.13","55.56","50","50.42","54.5","60.89","58.68","58.33","53.13","54.5","51.11","54.5","55.56","62.5","56.38","52.38","50.22","65.13","60.89","50.22","51.39","50.42","51.39","54.5","67.01","51.39","56.13","62.5","51.39","55.56","53.13","58.68","54.5","55.56"
,"51.39","50.11","53.33","52","51.39","51.25","53.33","67.01","51.11","51.11","68","58.68","50.42","55","60.89","51.79","50","65.13","50.18","53.13","65.13","50.22","58.68","51.39","51.79","55","53.13","58.68","51.11","53.13","52.89","53.13","58.68","55.56","56.35","50.18","50","65.13","53.13","65.13","51.39","51.11","60.89","64.67","53.13","57.03","50","60.89","50","50.42","51.11","51.79","50.5","55","51.11","54.5","53.33","50.42","50.5","53.33","50.42","67.01","56.35","58.33","54.5","55.56","54.5","55.56","50","51.11","54.5","60.89","60.89","60.06","53.13","55.56","51.11","54.5","55.56","65.13","56.38","52.38","50.22","58.33","65.13","50.22","55.56","50.42","51.39","55.56","70.06","51.39","56.13","62.5","53.33","51.39","53.13","58.68","51.11","56.38"
